,Lemma,definition
4362,наслаждение,"<i>Noun</i><br>1. pleasure, enjoyment, delight<br>2. treat, feast<br>3. gratification<br>4. luxury<br>5. fruition, delectation"
4363,упражнение,<i>Noun</i><br>1. exercise
4364,иллюзия,<i>Noun</i><br>1. illusion (anything that seems to be something that it is not)
4365,накрыть,"<i>Verb</i><br>1. to cover<br>2. to hit, to place fire on a target, to trap<br>3. to lay<br>4. to catch"
4366,разделение,"<i>Noun</i><br>1. division, separation<br>2. discrimination, differentiation"
4367,пейзаж,<i>Noun</i><br>1. landscape
4368,максимально,<i>Adjective</i><br>1. maximal
4369,обожать,"<i>Verb</i><br>1. to adore, to love, to worship"
4370,передо,"<i>Preposition</i><br>1. in front of, before"
4371,осторожный,"<i>Adjective</i><br>1. cautious, careful, wary, prudent"
4372,поделать,"<i>Verb</i><br>1. to make, to do (for a while)"
4373,бедро,"<i>Noun</i><br>1. thigh, hip<br>2. leg, round, loin"
4374,Урал,<i>Proper noun</i><br>1. Urals (mountain range)<br>2. Ural (river)
4375,эй,"<i>Interjection</i><br>1. hey! (you, there!)<br><i>Noun</i><br>1. hey! (you, there!)"
4376,обширный,"<i>Adjective</i><br>1. vast, ample, extensive"
4377,отыскать,"<i>Verb</i><br>1. to find, to track down<br>2. to look up, to search"
4378,частично,<i>Adjective</i><br>1. partial
4379,внешне,"<i>Adjective</i><br>1. outer, exterior, outside, external<br>2. outward<br>3. superficial, surface<br>4. external, foreign"
4380,гостиная,<i>Noun</i><br>1. living room<br>2. suite of furniture for a living room
4381,Африка,<i>Proper noun</i><br>1. Africa (a continent)
4382,внешность,"<i>Noun</i><br>1. appearance, look (physical appearance)<br>2. exterior, outside"
4383,недоумение,"<i>Noun</i><br>1. bewilderment, perplexity, quandary (a state of not knowing what to decide)"
4384,гвоздь,"<i>Noun</i><br>1. nail, tack, peg (construction)"
4385,ночевать,"<i>Verb</i><br>1. to stay for the night, to stay overnight"
4386,гордый,<i>Adjective</i><br>1. proud<br>2. majestic
4387,пребывать,"<i>Verb</i><br>1. to be (at some place), to stay, to remain<br>2. to be (in some state or condition), to stay, to remain"
4388,ласковый,"<i>Adjective</i><br>1. affectionate<br>2. tender, gentle<br>3. gentle, soft, caressing<br>4. mild, pleasant"
4389,порыв,"<i>Noun</i><br>1. gust (a strong, abrupt rush of wind)<br>2. fit (sudden outburst of emotion)"
4390,студенческий,<i>Adjective</i><br>1. student
4391,восприниматься,"<i>Verb</i><br>1. to perceive, to apprehend<br>2. to appreciate, to take in (to be aware of)"
4392,Лиля,
4393,выдвинуть,"<i>Verb</i><br>1. to draw out, to move out, to pull out<br>2. to put forward, to advance"
4394,Витя,
4395,сетка,"<i>Noun</i><br>1. net, netting<br>2. mesh, gauze<br>3. net<br>4. string bag<br>5. luggage rack<br>6. grid, graticule<br>7. scale<br>8. reticulum, bonnet, the second compartment of the stomach of a ruminant"
4396,союзник,<i>Noun</i><br>1. ally (one united to another by treaty or league)
4397,Паша,"<i>Proper noun</i><br>1. A diminutive, Pasha, of the male given name Па́вел (Pável)"
4398,Софья,"<i>Proper noun</i><br>1. A female given name, Sofya, from Ancient Greek, equivalent to English Sophia"
4399,Вашингтон,<i>Proper noun</i><br>1. Washington (a city in the United States)<br>2. Washington (a state of the United States)<br><i>Proper noun</i><br>1. Washington (a city in the United States)<br>2. Washington (a state of the United States)
4400,одетый,"<i>Verb</i><br>1. to dress, to clothe<br>2. to provide clothes<br>3. to cover<br>4. to put on (clothing, equipment)"
4401,советник,"<i>Noun</i><br>1. advisor, counselor, councillor"
4402,возрастать,"<i>Verb</i><br>1. to grow up<br>2. to increase, to rise"
4403,Одесса,"<i>Proper noun</i><br>1. Odessa (a city, the administrative center of Odessa Oblast, Ukraine)<br>2. Odessa (an oblast of Ukraine)"
4404,автоматический,<i>Adjective</i><br>1. automatic
4405,невысокий,"<i>Adjective</i><br>1. not tall, not high, short , low"
4406,проход,"<i>Noun</i><br>1. passage, pass, aisle"
4407,безопасный,"<i>Adjective</i><br>1. safe, secure"
4408,вследствие,<i>Preposition</i><br>1. as a consequence (of)
4409,вольный,"<i>Adjective</i><br>1. free<br>2. free, available, at liberty<br>3. unrestricted<br>4. free-style<br>5. familiar, impudent<br><i>Noun</i><br>1. free<br>2. free, available, at liberty<br>3. unrestricted<br>4. free-style<br>5. familiar, impudent"
4410,подсказать,"<i>Verb</i><br>1. to prompt (to), to suggest (to)<br>2. to kibitz"
4411,поставщик,"<i>Noun</i><br>1. supplier, provider, purveyor; caterer"
4412,решительный,"<i>Adjective</i><br>1. decisive<br>2. critical<br>3. firm, absolute, resolute<br>4. definite, determined"
4413,что-либо,"<i>Pronoun</i><br>1. (indefinite pronoun) anything, something"
4414,мобильный,<i>Adjective</i><br>1. mobile
4415,гладкий,<i>Adjective</i><br>1. smooth<br>2. well-fed
4416,влажный,"<i>Adjective</i><br>1. humid, moist, damp"
4417,раздражать,"<i>Verb</i><br>1. to irritate<br>2. to annoy, to vex, to get on nerves"
4418,дурацкий,<i>Adjective</i><br>1. stupid; blasted
4419,сарай,"<i>Noun</i><br>1. shed, storage building (small wooden construction)<br>2. uncomfortable, untidy room, pigsty<br>3. palace"
4420,словарь,"<i>Noun</i><br>1. dictionary, wordbook<br>2. vocabulary, glossary<br>3. lexicon"
4421,пенсионер,"<i>Noun</i><br>1. pensioner, retiree"
4422,колодец,<i>Noun</i><br>1. well (hole sunk into the ground)
4423,прочный,"<i>Adjective</i><br>1. durable, strong, firm"
4424,вручить,"<i>Verb</i><br>1. to hand over, to deliver, to present<br>2. to entrust"
4425,квалификация,<i>Noun</i><br>1. qualification
4426,увеличиваться,"<i>Verb</i><br>1. to enlarge, to increase<br>2. to magnify"
4427,бесконечно,"<i>Adjective</i><br>1. endless, infinite<br>2. unlimited, boundless<br>3. eternal"
4428,шуметь,"<i>Verb</i><br>1. to make a noise; to be noisy; to rustle (e.g. of leaves)<br>2. to kick up a row, to make a fuss"
4429,туча,"<i>Noun</i><br>1. rain cloud; dark, heavy cloud<br>2. moving multitude; cloud, host"
4430,реплика,"<i>Noun</i><br>1. remark<br>2. retort, rejoinder<br>3. theatral cue"
4431,простор,"<i>Noun</i><br>1. open space, expanse<br>2. freedom<br>3. scope, range"
4432,мудрость,<i>Noun</i><br>1. wisdom
4433,возить,"<i>Verb</i><br>1. to convey, to carry (by vehicle), to deliver, to transport"
4434,прочь,"<i>Verb</i><br>1. to intend (for)<br>2. to expect (to become), to consider as the most likely candidate (for)<br>3. to expect (to have, to)"
4435,изнутри,"<i>Adverb</i><br>1. from within, out of<br>2. on the inside"
4436,провинция,<i>Noun</i><br>1. province (Ancient Rome)<br>2. province (administrative region)<br>3. area located far from the capital or large urban centers
4437,чин,<i>Noun</i><br>1. rank<br>2. official<br>3. a religious rite
4438,попросту,"<i>Adverb</i><br>1. simply, merely<br>2. plainly, unceremoniously, simply, without ceremony"
4439,подполковник,<i>Noun</i><br>1. lieutenant colonel
4440,слон,<i>Noun</i><br>1. elephant<br>2. bishop
4441,опрос,"<i>Noun</i><br>1. questioning, interrogation<br>2. oral test<br>3. survey, poll, inquiry<br>4. interrogation, inquiry, poll"
4442,направлять,"<i>Verb</i><br>1. to direct<br>2. to turn, to aim, to level, to point<br>3. to refer, to send, to assign, to detach<br>4. to sharpen"
4443,шкура,"<i>Noun</i><br>1. skin, pelt, coat<br>2. bastard, scum<br>3. whore"
4444,ад,<i>Noun</i><br>1. Hades<br>2. hell (the abode of the damned; also used figuratively)
4445,Рита,"<i>Proper noun</i><br>1. A diminutive of the female given name Маргари́та (Margaríta), equivalent to English Rita"
4446,обследование,"<i>Noun</i><br>1. examination, inspection, survey"
4447,вена,<i>Noun</i><br>1. bride-price
4448,альбом,<i>Noun</i><br>1. album
4449,тепло,<i>Adjective</i><br>1. warm
4450,старт,<i>Noun</i><br>1. start (beginning point of a distance race or a process)<br>2. launchpad
4451,сравнительно,<i>Adverb</i><br>1. comparatively (in a comparative manner)<br>2. relatively
4452,оппозиция,<i>Noun</i><br>1. opposition
4453,младенец,"<i>Noun</i><br>1. infant, baby"
4454,нестись,"<i>Verb</i><br>1. to bear, to bring, to carry<br>2. to carry, to bear, to support<br>3. to lay (eggs)<br>4. to talk (about), to babble on (about)<br>5. to be carried away, to go over the limits"
4455,происшествие,"<i>Noun</i><br>1. incident, event, occurrence"
4456,ласково,"<i>Adverb</i><br>1. affectionately, tenderly<br>2. blandly<br>3. benignly<br>4. grandmotherly, gently"
4457,торопливо,"<i>Adjective</i><br>1. hasty, hurried"
4458,антитело,<i>Noun</i><br>1. antibody (protein that binds to a specific antigen)
4459,пособие,"<i>Noun</i><br>1. allowance, benefit, pension, dole; gratuity<br>2. handbook, manual, tutorial, textbook"
4460,сводить,"<i>Verb</i><br>1. to lead, to take<br>2. to bring together, to throw together<br>3. to reduce , to bring<br>4. to remove<br>5. to trace<br><i>Verb</i><br>1. to lead, to take<br>2. to bring together, to throw together<br>3. to reduce , to bring<br>4. to remove<br>5. to trace"
4461,украсить,"<i>Verb</i><br>1. to adorn, to embellish, to beautify, to decorate, to ornament"
4462,формировать,"<i>Verb</i><br>1. to form, to shape, to mould, to make up"
4463,растеряться,<i>Verb</i><br>1. to lose little by little
4464,бесплатно,"<i>Adjective</i><br>1. free, gratuitous, rent-free"
4465,вспышка,<i>Noun</i><br>1. flash<br>2. outbreak
4466,драка,"<i>Noun</i><br>1. scuffle, fight, tussle"
4467,Васильевна,
4468,функциональный,"<i>Adjective</i><br>1. functional<br>2. functional (useful, serving a purpose)<br>3. functional (based on function)"
4469,нота,"<i>Noun</i><br>1. note<br>2. note, memorandum"
4470,предпринять,"<i>Verb</i><br>1. to undertake, to endeavour"
4471,нажать,"<i>Verb</i><br>1. to press, to push<br>2. to urge, to impel, to influence, to put pressure on<br>3. to press on, to press ahead<br>4. to make by pressing<br><i>Verb</i><br>1. to press, to push<br>2. to urge, to impel, to influence, to put pressure on<br>3. to press on, to press ahead<br>4. to make by pressing"
4472,близкие,"<i>Adjective</i><br>1. close, near<br>2. dear, intimate<br>3. directly concerning<br>4. having free access<br>5. similar"
4473,защитник,"<i>Noun</i><br>1. defender, protector<br>2. advocate, attorney<br>3. full-back"
4474,жалость,<i>Noun</i><br>1. compassion<br>2. pity
4475,снимок,"<i>Noun</i><br>1. photo, photograph, picture, snapshot"
4476,постройка,"<i>Noun</i><br>1. construction, structure (anything constructed)<br>2. building, construction (process)"
4477,решающий,"<i>Verb</i><br>1. to solve, to settle<br>2. to decide, to resolve, to make up one's mind, to determine"
4478,взор,"<i>Noun</i><br>1. look, glance, gaze<br>2. eyes<br>3. Vzor optical orientation device (used on the early Восток spacecraft, it used mirrors to orient the spacecraft manually using the sun in order to give the best views of the Earth)"
4479,тетрадь,"<i>Noun</i><br>1. exercise book, notebook"
4480,посещение,"<i>Noun</i><br>1. visit, call<br>2. attendance"
4481,японец,<i>Noun</i><br>1. male Japanese person
4482,вставить,"<i>Verb</i><br>1. to insert, to put in, to paste"
4483,проба,"<i>Noun</i><br>1. trial, test<br>2. assay, sample<br>3. standard, hallmark"
4484,христианин,<i>Noun</i><br>1. Christian
4485,отверстие,"<i>Noun</i><br>1. opening, aperture, hole, perforation<br>2. mesh<br>3. orifice, mouth, vent, passage, inlet, outlet, port<br>4. break, gap<br>5. bore<br>6. span"
4486,педагогический,<i>Adjective</i><br>1. pedagogical
4487,казак,"<i>Noun</i><br>1. Cossack, cossack<br>2. Kazakh<br><i>Noun</i><br>1. Cossack, cossack<br>2. Kazakh"
4488,кислота,<i>Noun</i><br>1. acid<br>2. LSD (slang)
4489,заработный,"<i>Adjective</i><br>1. wages, salary; earned"
4490,Владимирович,<i>Proper noun</i><br>1. A  patronymic​. Vladimirovich
4491,скрываться,"<i>Verb</i><br>1. to hide, to conceal<br>2. to dissemble, to keep back<br>3. to keep secret"
4492,скучно,"<i>Adjective</i><br>1. dull, boring, tedious, tiresome (inciting boredom)<br>2. bored, listless"
4493,правонарушение,"<i>Noun</i><br>1. violation of the law, offence"
4494,плотно,"<i>Adjective</i><br>1. dense<br>2. compact, solid<br>3. thickset<br>4. close, thick"
4495,беречь,"<i>Verb</i><br>1. to guard, to take care of, to keep safe"
4496,мусор,"<i>Noun</i><br>1. garbage, debris, refuse<br><i>Noun</i><br>1. garbage, debris, refuse"
4497,мыслить,<i>Verb</i><br>1. to think
4498,хитрый,"<i>Adjective</i><br>1. sly, cunning, artful<br>2. intricate, involved<br>3. skilful, resourceful"
4499,удержать,"<i>Verb</i><br>1. to retain, to hold<br>2. to hold back, to keep (from), to withhold<br>3. to suppress<br>4. to deduct, to keep back"
4500,условный,<i>Adjective</i><br>1. conditional<br>2. conventional<br>3. prearranged<br>4. make-believe<br>5. reference
4501,переводчик,<i>Noun</i><br>1. translator<br>2. interpreter
4502,влечь,"<i>Verb</i><br>1. to attract, to draw, to pull, to haul<br>2. to entail, to bring about"
4503,ложный,"<i>Adjective</i><br>1. false (untrue, not factual, wrong)<br>2. fallacious (deceptive or misleading, mistaken)"
4504,геологический,"<i>Adjective</i><br>1. geologic, geological"
4505,армейский,<i>Adjective</i><br>1. army
4506,дефицит,"<i>Noun</i><br>1. deficit<br>2. deficiency, shortage"
4507,нежность,"<i>Noun</i><br>1. tenderness, caress, fondness, delicacy<br>2. (plural) kind words, endearments"
4508,застынуть,"<i>Verb</i><br>1. to thicken, to harden, to solidify<br>2. to cool down<br>3. to freeze, to feel cold; to catch cold<br>4. to stiffen, to freeze, to be / become / stand stockstill"
4509,кран,"<i>Noun</i><br>1. valve (a ball valve, a plug valve, or similar rotating device controlling flow through a pipe)<br>2. faucet, tap, spigot<br>3. crane"
4510,смертный,<i>Adjective</i><br>1. mortal<br>2. death<br><i>Noun</i><br>1. mortal<br>2. death
4511,преступный,"<i>Adjective</i><br>1. criminal, felonious"
4512,проехать,"<i>Verb</i><br>1. to go through/by , to ride through/by, to drive through/by<br>2. to drive past/along/across<br>3. to travel (a certain distance)"
